브랜드,할인 금액,조건,유효기간,사용 장소,기타 사항
시티면세점,14000원,담배 2보루 구매 시,~2026-06-30,인천공항 T1(30번 게이트 부근) / T2(247번 게이트 부근),전자담배 및 중국 담배 제외
시티면세점,14000원,$50 이상 구매 시,~2026-06-30,인천공항 T1(30번 게이트 부근) / T2(247번 게이트 부근),30% 이상 할인 품목 제외
경복궁 면세점,14000원,담배 2보루 이상 구매 시,~2026-06-30,인천공항 T1(12/28번 게이트 부근) / T2(253번 게이트 부근),출국장 전용 / 샴푸 및 린스 샘플 증정 이벤트 포함
경복궁 면세점,21000원,국산 담배 3보루 구매 시,~2026-06-30,인천공항 T1(12/28번 게이트 부근) / T2(253번 게이트 부근),출국장 전용 / 전자담배 제외
경복궁 면세점,14000원,$50 이상 구매 시 (화장품/주류 등),~2026-06-30,인천공항 T1(12/28번 게이트 부근) / T2(253번 게이트 부근),출국장 전용 / 최대 20% 할인 적용 가능
경복궁 면세점,7000원,담배 1보루 구매 시,~2026-06-30,인천공항 T1/T2 입국장 및 김해공항 입국장,입국장 전용 / 전자담배 제외
